2029911	2030210
3078168	3078995
2039460	2041427
188929	190437
924954	925367
2049928	2051157
2727977	2728276
339364	340974
2637698	2639545
2632933	2634108
2617677	2618918
927840	930488
3945973	3950442
3756123	3767273
3738329	3742945
2960115	2962451
349935	351476
1488160	1489971
1190762	1192153
1020062	1021333
177541	179307
1095082	1096455
2387210	2388298
349624	349932
3978238	3979677
1162553	1163380
2943610	2944995
4094119	4094706
838454	840859
3465775	3467088
399535	400050
3501331	3501729
1606392	1607978
1214831	1215136
2000621	2002477
187431	188837
1211565	1213868
2835795	2837273
3970884	3972632
3079319	3080467
4276749	4278263
835704	838055
1384995	1386683
424144	424695
976875	978206
2692809	2693894
3843216	3843914
1298769	1299809
2025308	2026405
2044930	2046849
3510085	3511314
1862354	1865389
3162278	3164125
3729535	3737106
1299827	1300129
1572133	1573863
968427	970247
2801264	2806246
1932701	1933885
1636010	1638235
2727346	2727930
846162	847916
1981621	1984782
2367367	2367663
4351253	4352359
3998159	3999817
2423248	2424846
4375940	4376173
2167656	2170619
2087978	2089525
2026484	2026783
3931184	3936889
4190462	4190695
424778	434680
671999	675919
131380	132870
2706027	2706746
3894272	3894568
1339009	1339308
4093811	4094125
1855771	1856703
4060827	4062068
1188426	1190429
1090377	1093148
361334	363109
3894605	3895786
2028432	2029484
2061185	2062681
105321	106712
4189463	4190410
791834	792163
1931504	1932661
1655615	1656727
1618215	1619690
1161301	1162476
4036910	4038229
4062078	4062377
1561775	1563394
3847345	3847881
3778739	3780514
3376949	3378253
4091412	4091696
543177	544733
307877	309547
1216474	1219035
2367719	2368450
3380690	3381007
832984	833511
1357299	1357631
848106	850043
2921561	2923192
3801833	3804028
3737155	3738171
1339355	1340530
3527388	3529160
2600741	2601889
1989840	1992584
1093365	1094360
2162939	2167318
3941903	3945142
3939796	3941940
2048393	2049604
3378339	3378425
3076904	3078088
3490473	3491648
149531	150994
466673	468004
4031583	4033337
366150	372764
1262277	1264133
179317	180894
2357915	2358214
2795311	2797395
3379386	3380693
2935056	2936798
4196349	4196684
2042008	2043279
3053924	3055501
4374662	4375861
1561470	1561778
2651763	2651948
3743882	3753355
372820	375711
622796	624580
1301760	1302686
2356737	2357909
2026797	2027978
530754	532217
2226252	2227928
3842419	3842949
4350923	4351222
3501791	3502933
336560	339073
333437	336310
3969522	3970742
925364	927613
2634538	2635602
2043391	2044782
3200804	3202030
1214518	1214952
3926748	3930893
2381079	2382500
1630644	1634633
1751303	1753339
2048079	2048378
1021348	1021647
1532449	1533639
2051289	2052695
